index	path_json	canonical_path_json	type	encrypted	compression_method	compression_name	flag_bits	crc32	compressed_size	uncompressed_size	date_time_json	create_system	create_version	extract_version	external_attr	unix_mode	header_offset	extra_hex	comment_hex
66	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/pkgsrc/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/pkgsrc"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	95740	75780b000104f5010000041400000055540500013f435e6a	
67	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._pkgsrc"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._pkgsrc"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	95881	75780b000104f5010000041400000055540500013f435e6a	
68	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/babeld/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/babeld"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	96134	75780b000104f5010000041400000055540500013f435e6a	
69	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._babeld"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._babeld"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	96275	75780b000104f5010000041400000055540500013f435e6a	
70	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/sharpd/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/sharpd"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	96528	75780b000104f5010000041400000055540500013f435e6a	
71	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._sharpd"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._sharpd"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	96669	75780b000104f5010000041400000055540500013f435e6a	
72	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/yang/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/yang"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,16]	3	20	20	1107099648	040775	96922	75780b000104f50100000414000000555405000140435e6a	
73	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._yang"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._yang"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,16]	3	20	20	2180841472	100775	97061	75780b000104f50100000414000000555405000140435e6a	
74	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/debian/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/debian"	directory	false	0	stored	0	00000000	0	0	[2026,7,20,23,48,14]	3	20	20	1107099648	040775	97312	75780b000104f5010000041400000055540500013f435e6a	
75	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._debian"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/._debian"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,20,23,48,14]	3	20	20	2180841472	100775	97453	75780b000104f5010000041400000055540500013f435e6a	
